"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1467","should fill login form with credentials","chromium","2026-01-30","passed","2026-01-30","Login Tests","login.spec.js","",""
"","30627","should complete full transaction creation flow with all details","chromium","2026-01-30","broken","2026-01-30","Create Transaction - Full Recorder Flow","fullRecorderFlow.spec.js","",""
"","31199","should successfully create a transaction with all required details","chromium","2026-01-30","broken","2026-01-30","Create Transaction E2E Flow - Agent Maker","createTransaction.spec.js","",""
"","9742","should successfully create a transaction with all required details","chromium","2026-01-30","passed","2026-01-30","Create Transaction E2E Flow","createTransaction.spec.js","",""
"","33537","should successfully login with valid credentials","chromium","2026-01-30","broken","2026-01-30","Login Tests","login.spec.js","",""
"","1694","should have visible login form elements","chromium","2026-01-30","passed","2026-01-30","Login Tests","login.spec.js","",""
"","11257","inspect create transaction page","chromium","2026-01-30","passed","2026-01-30","","inspect-transaction.spec.js","",""
"","9829","should complete card balance and get statement workflow","chromium","2026-01-30","passed","2026-01-30","Card Balance - Get Statement Workflow","cardBalance.spec.js","",""
"","8820","inspect login page","chromium","2026-01-30","passed","2026-01-30","","debug.spec.js","",""
"","10010","Diagnose form elements","chromium","2026-01-30","passed","2026-01-30","","diagnostic.spec.js","",""
