"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17189","should validate required fields","chromium","2026-02-02","failed","2026-02-02","Create Transaction Tests","createTransaction.spec.js","",""
"","11257","inspect create transaction page","chromium","2026-01-30","passed","2026-01-30","","inspect-transaction.spec.js","",""
"","7499","should check network requests","chromium","2026-02-02","passed","2026-02-02","Diagnostic Tests","diagnostic.spec.js","",""
"","16615","Create Transaction E2E Flow","chromium","2026-02-02","passed","2026-02-02","Create Transaction Tests","createTransaction.spec.js","",""
"","8473","should display error with invalid password","chromium","2026-02-02","passed","2026-02-02","Login Tests","login.spec.js","",""
"","5417","should login successfully with valid credentials","chromium","2026-02-02","passed","2026-02-02","Login Tests","login.spec.js","",""
"","11945","should display transaction form","chromium","2026-02-02","failed","2026-02-02","Create Transaction Tests","createTransaction.spec.js","",""
"","18537","Create Transaction - Full Recorder Flow","chromium","2026-02-02","failed","2026-02-02","Full Recorder Flow Tests","fullRecorderFlow.spec.js","",""
"","4","should complete full transaction creation flow with all details","chromium","2026-02-02","failed","2026-02-02","Create Transaction - Full Recorder Flow","fullRecorderFlow.spec.js","",""
"","4","should have visible login form elements","chromium","2026-02-02","failed","2026-02-02","Login Tests","login.spec.js","",""
"","8327","should handle form submission","chromium","2026-02-02","passed","2026-02-02","Full Recorder Flow Tests","fullRecorderFlow.spec.js","",""
"","14853","Diagnose form elements","chromium","2026-02-02","passed","2026-02-02","Diagnostic Tests","diagnostic.spec.js","",""
"","7966","should record user interactions","chromium","2026-02-02","passed","2026-02-02","Full Recorder Flow Tests","fullRecorderFlow.spec.js","",""
"","8820","inspect login page","chromium","2026-01-30","passed","2026-01-30","","debug.spec.js","",""
"","11743","should verify page accessibility","chromium","2026-02-02","failed","2026-02-02","Diagnostic Tests","diagnostic.spec.js","",""
"","4","should complete card balance and get statement workflow","chromium","2026-02-02","failed","2026-02-02","Card Balance - Get Statement Workflow","cardBalance.spec.js","",""
"","4","should fill login form with credentials","chromium","2026-02-02","failed","2026-02-02","Login Tests","login.spec.js","",""
"","6067","should display error with empty email","chromium","2026-02-02","passed","2026-02-02","Login Tests","login.spec.js","",""
"","10010","Diagnose form elements","chromium","2026-01-30","passed","2026-01-30","","diagnostic.spec.js","",""
"","18106","Card Balance - Get Statement Workflow","chromium","2026-02-02","passed","2026-02-02","Card Balance E2E Tests","cardBalance.spec.js","",""
"","33537","should successfully login with valid credentials","chromium","2026-01-30","broken","2026-01-30","Login Tests","login.spec.js","",""
"","11080","should display card balance information","chromium","2026-02-02","passed","2026-02-02","Card Balance E2E Tests","cardBalance.spec.js","",""
"","5717","should handle multiple card entries","chromium","2026-02-02","passed","2026-02-02","Card Balance E2E Tests","cardBalance.spec.js","",""
"","7479","should verify successful completion","chromium","2026-02-02","passed","2026-02-02","Full Recorder Flow Tests","fullRecorderFlow.spec.js","",""
"","4","should successfully create a transaction with all required details","chromium","2026-02-02","failed","2026-02-02","Create Transaction E2E Flow - Agent Maker","createTransaction.spec.js","",""
"","9742","should successfully create a transaction with all required details","chromium","2026-01-30","passed","2026-01-30","Create Transaction E2E Flow","createTransaction.spec.js","",""
